Label;URL
Rolled_Metal_Products_&_Metal_Structures;https://data.ozon.ru/app/categories-comparison?category=2_17027482_91976992&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Roof;https://data.ozon.ru/app/categories-comparison?category=2_17027482_44407045&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Sauna_and_Bath_Accessories;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028661&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Soldering_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027482_19173618&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Structural_Materials;https://data.ozon.ru/app/categories-comparison?category=2_17027482_200000167&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Technical_Lighting;https://data.ozon.ru/app/categories-comparison?category=2_17027482_200001697&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Temporary_Fencing;https://data.ozon.ru/app/categories-comparison?category=2_17027482_62673869&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Tile_and_Porcelain_Stoneware;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028951&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Timber;https://data.ozon.ru/app/categories-comparison?category=2_17027482_80202912&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Tool_Consumables;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028734&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Tooling_Equipment;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17027923&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
Ventilation_System;https://data.ozon.ru/app/categories-comparison?category=2_17027482_17028957&period=year&group=group_brand&metric=metric_gmv&sortingColumn=metric_gmv&sortingOrder=direction_desc
